Date,Date_Key,Year,Month,Day,Quarter,Weekday
2018-01-31 22:56:00,20180131,2018,1,31,1,Wednesday
2018-01-13 12:27:00,20180113,2018,1,13,1,Saturday
2018-01-12 23:51:00,20180112,2018,1,12,1,Friday
2016-02-24 13:57:00,20160224,2016,2,24,1,Wednesday
2016-10-25 14:39:00,20161025,2016,10,25,4,Tuesday
2016-03-30 04:37:00,20160330,2016,3,30,1,Wednesday
2016-10-30 01:31:00,20161030,2016,10,30,4,Sunday
2016-11-28 01:18:00,20161128,2016,11,28,4,Monday
2016-12-31 15:47:00,20161231,2016,12,31,4,Saturday
2015-10-25 06:24:00,20151025,2015,10,25,4,Sunday
2016-06-11 15:12:00,20160611,2016,6,11,2,Saturday
2016-08-24 21:45:00,20160824,2016,8,24,3,Wednesday
2016-04-13 10:12:00,20160413,2016,4,13,2,Wednesday
2016-05-22 14:10:00,20160522,2016,5,22,2,Sunday
2016-10-04 22:55:00,20161004,2016,10,4,4,Tuesday
2016-11-08 12:32:00,20161108,2016,11,8,4,Tuesday
2016-11-11 05:21:00,20161111,2016,11,11,4,Friday
2016-12-08 00:14:00,20161208,2016,12,8,4,Thursday
2015-07-07 05:31:00,20150707,2015,7,7,3,Tuesday
2017-07-22 07:16:00,20170722,2017,7,22,3,Saturday
2017-08-07 06:33:00,20170807,2017,8,7,3,Monday
2015-09-22 07:41:00,20150922,2015,9,22,3,Tuesday
2017-07-02 09:03:00,20170702,2017,7,2,3,Sunday
2015-09-08 12:15:00,20150908,2015,9,8,3,Tuesday
2017-08-20 07:03:00,20170820,2017,8,20,3,Sunday
2017-08-04 02:31:00,20170804,2017,8,4,3,Friday
2017-09-18 01:14:00,20170918,2017,9,18,3,Monday
2015-07-02 19:42:00,20150702,2015,7,2,3,Thursday
2015-03-28 00:55:00,20150328,2015,3,28,1,Saturday
2017-04-02 16:43:00,20170402,2017,4,2,2,Sunday
2017-05-05 14:23:00,20170505,2017,5,5,2,Friday
2015-04-25 04:44:00,20150425,2015,4,25,2,Saturday
2017-06-06 15:03:00,20170606,2017,6,6,2,Tuesday
2017-02-18 16:36:00,20170218,2017,2,18,1,Saturday
2015-04-26 03:10:00,20150426,2015,4,26,2,Sunday
2015-04-10 00:02:00,20150410,2015,4,10,2,Friday
2017-04-11 15:49:00,20170411,2017,4,11,2,Tuesday
2017-03-16 02:54:00,20170316,2017,3,16,1,Thursday
2015-03-29 10:33:00,20150329,2015,3,29,1,Sunday
2015-02-03 00:28:00,20150203,2015,2,3,1,Tuesday
2017-01-18 19:37:00,20170118,2017,1,18,1,Wednesday
2015-03-13 18:59:00,20150313,2015,3,13,1,Friday
2017-02-07 09:47:00,20170207,2017,2,7,1,Tuesday
2015-04-03 19:08:00,20150403,2015,4,3,2,Friday
2017-04-13 14:25:00,20170413,2017,4,13,2,Thursday
2015-04-02 03:33:00,20150402,2015,4,2,2,Thursday
2017-01-31 11:43:00,20170131,2017,1,31,1,Tuesday
2017-03-30 23:12:00,20170330,2017,3,30,1,Thursday
2017-03-25 23:02:00,20170325,2017,3,25,1,Saturday
2017-02-05 01:01:00,20170205,2017,2,5,1,Sunday
2017-04-15 14:04:00,20170415,2017,4,15,2,Saturday
2015-02-15 18:40:00,20150215,2015,2,15,1,Sunday
2017-05-27 16:48:00,20170527,2017,5,27,2,Saturday
2015-02-25 20:46:00,20150225,2015,2,25,1,Wednesday
2017-05-31 11:33:00,20170531,2017,5,31,2,Wednesday
2015-01-15 04:32:00,20150115,2015,1,15,1,Thursday
2017-04-26 15:16:00,20170426,2017,4,26,2,Wednesday
2017-03-07 19:12:00,20170307,2017,3,7,1,Tuesday
2017-04-20 18:47:00,20170420,2017,4,20,2,Thursday
2017-03-03 06:14:00,20170303,2017,3,3,1,Friday
2017-06-04 16:06:00,20170604,2017,6,4,2,Sunday
2017-05-16 21:33:00,20170516,2017,5,16,2,Tuesday
2015-05-27 01:32:00,20150527,2015,5,27,2,Wednesday
2017-03-28 05:20:00,20170328,2017,3,28,1,Tuesday
