Order_Id,Order_Customer_Id,Order_Status,Type,Order_Item_Cardprod_Id,order_date_(DateOrders),Order_Date_Key
77202,20755,COMPLETE,DEBIT,1360,2018-01-31 22:56:00,20180131
75939,19492,PENDING,TRANSFER,1360,2018-01-13 12:27:00,20180113
75938,19491,CLOSED,CASH,1360,2018-01-13 12:06:00,20180113
75937,19490,COMPLETE,DEBIT,1360,2018-01-13 11:45:00,20180113
75936,19489,PENDING_PAYMENT,PAYMENT,1360,2018-01-13 11:24:00,20180113
75935,19488,CANCELED,TRANSFER,1360,2018-01-13 11:03:00,20180113
75934,19487,COMPLETE,DEBIT,1360,2018-01-13 10:42:00,20180113
75933,19486,PROCESSING,TRANSFER,1360,2018-01-13 10:21:00,20180113
75932,19485,CLOSED,CASH,1360,2018-01-13 10:00:00,20180113
75931,19484,CLOSED,CASH,1360,2018-01-13 09:39:00,20180113
75930,19483,SUSPECTED_FRAUD,TRANSFER,1360,2018-01-13 09:18:00,20180113
75929,19482,PENDING,TRANSFER,1360,2018-01-13 08:57:00,20180113
75928,19481,PENDING,TRANSFER,1360,2018-01-13 08:36:00,20180113
75927,19480,COMPLETE,DEBIT,1360,2018-01-13 08:15:00,20180113
75926,19479,PROCESSING,TRANSFER,1360,2018-01-13 07:54:00,20180113
75925,19478,COMPLETE,DEBIT,1360,2018-01-13 07:33:00,20180113
75924,19477,PENDING_PAYMENT,PAYMENT,1360,2018-01-13 07:12:00,20180113
75923,19476,CLOSED,CASH,1360,2018-01-13 06:51:00,20180113
75922,19475,COMPLETE,DEBIT,1360,2018-01-13 06:30:00,20180113
75921,19474,PENDING_PAYMENT,PAYMENT,1360,2018-01-13 06:09:00,20180113
75920,19473,PROCESSING,TRANSFER,1360,2018-01-13 05:48:00,20180113
75919,19472,PENDING,TRANSFER,1360,2018-01-13 05:27:00,20180113
75918,19471,PENDING,TRANSFER,1360,2018-01-13 05:06:00,20180113
75917,19470,CANCELED,TRANSFER,1360,2018-01-13 04:45:00,20180113
75916,19469,SUSPECTED_FRAUD,TRANSFER,1360,2018-01-13 04:24:00,20180113
75915,19468,COMPLETE,DEBIT,1360,2018-01-13 04:03:00,20180113
75914,19467,PENDING,TRANSFER,1360,2018-01-13 03:42:00,20180113
75913,19466,PENDING_PAYMENT,PAYMENT,1360,2018-01-13 03:21:00,20180113
75912,19465,COMPLETE,DEBIT,1360,2018-01-13 03:00:00,20180113
75911,19464,PROCESSING,TRANSFER,1360,2018-01-13 02:39:00,20180113
75910,19463,ON_HOLD,DEBIT,1360,2018-01-13 02:18:00,20180113
75909,19462,COMPLETE,DEBIT,1360,2018-01-13 01:57:00,20180113
75908,19461,PENDING_PAYMENT,PAYMENT,1360,2018-01-13 01:36:00,20180113
75907,19460,COMPLETE,DEBIT,1360,2018-01-13 01:15:00,20180113
75906,19459,PENDING_PAYMENT,PAYMENT,1360,2018-01-13 00:54:00,20180113
75905,19458,PENDING_PAYMENT,PAYMENT,1360,2018-01-13 00:33:00,20180113
75904,19457,CLOSED,CASH,1360,2018-01-13 00:12:00,20180113
75903,19456,COMPLETE,DEBIT,1360,2018-01-12 23:51:00,20180112
75902,19455,COMPLETE,DEBIT,1360,2018-01-12 23:30:00,20180112
75901,19454,CANCELED,TRANSFER,1360,2018-01-12 23:09:00,20180112
75900,19453,PENDING_PAYMENT,PAYMENT,1360,2018-01-12 22:48:00,20180112
75899,19452,COMPLETE,DEBIT,1360,2018-01-12 22:27:00,20180112
75898,19451,CLOSED,CASH,1360,2018-01-12 22:05:00,20180112
75897,19450,PENDING_PAYMENT,PAYMENT,1360,2018-01-12 21:44:00,20180112
75896,19449,COMPLETE,DEBIT,1360,2018-01-12 21:23:00,20180112
75895,19448,PENDING,TRANSFER,1360,2018-01-12 21:02:00,20180112
75894,19447,PENDING,TRANSFER,1360,2018-01-12 20:41:00,20180112
75893,19446,PROCESSING,TRANSFER,1360,2018-01-12 20:20:00,20180112
28744,9083,PENDING_PAYMENT,PAYMENT,365,2016-02-24 13:57:00,20160224
45461,4741,PENDING_PAYMENT,PAYMENT,627,2016-10-25 14:39:00,20161025
31115,639,PENDING_PAYMENT,PAYMENT,502,2016-03-30 04:37:00,20160330
45766,9702,PENDING_PAYMENT,PAYMENT,627,2016-10-30 01:31:00,20161030
47752,9114,PENDING_PAYMENT,PAYMENT,502,2016-11-28 01:18:00,20161128
50054,1362,PENDING_PAYMENT,PAYMENT,502,2016-12-31 15:47:00,20161231
20365,8011,PENDING_PAYMENT,PAYMENT,502,2015-10-25 06:24:00,20151025
36146,3296,PENDING_PAYMENT,PAYMENT,278,2016-06-11 15:12:00,20160611
41234,3182,PENDING_PAYMENT,PAYMENT,249,2016-08-24 21:45:00,20160824
32090,7864,PENDING_PAYMENT,PAYMENT,365,2016-04-13 10:12:00,20160413
34773,11169,PENDING_PAYMENT,PAYMENT,365,2016-05-22 14:10:00,20160522
44046,5197,PENDING_PAYMENT,PAYMENT,191,2016-10-04 22:55:00,20161004
46414,1535,PENDING_PAYMENT,PAYMENT,627,2016-11-08 12:32:00,20161108
46599,6122,PENDING_PAYMENT,PAYMENT,917,2016-11-11 05:21:00,20161111
48434,9451,PENDING_PAYMENT,PAYMENT,828,2016-12-08 00:14:00,20161208
12827,542,PENDING_PAYMENT,PAYMENT,191,2015-07-07 05:31:00,20150707
63936,11329,PENDING_PAYMENT,PAYMENT,191,2017-07-22 07:16:00,20170722
65030,3570,PENDING_PAYMENT,PAYMENT,191,2017-08-07 06:33:00,20170807
18108,650,PENDING_PAYMENT,PAYMENT,365,2015-09-22 07:41:00,20150922
62571,9353,PENDING_PAYMENT,PAYMENT,365,2017-07-02 09:03:00,20170702
17162,54,PENDING_PAYMENT,PAYMENT,365,2015-09-08 12:15:00,20150908
65922,12151,PENDING_PAYMENT,PAYMENT,365,2017-08-20 07:03:00,20170820
64813,10018,PENDING_PAYMENT,PAYMENT,627,2017-08-04 02:31:00,20170804
67892,3182,PENDING_PAYMENT,PAYMENT,502,2017-09-18 01:14:00,20170918
12525,4936,PENDING_PAYMENT,PAYMENT,917,2015-07-02 19:42:00,20150702
5895,8707,PENDING_PAYMENT,PAYMENT,191,2015-03-28 00:55:00,20150328
56359,1025,PENDING_PAYMENT,PAYMENT,365,2017-04-02 16:43:00,20170402
58613,8831,PENDING_PAYMENT,PAYMENT,365,2017-05-05 14:23:00,20170505
7824,10679,PENDING_PAYMENT,PAYMENT,365,2015-04-25 04:44:00,20150425
7814,5007,PENDING_PAYMENT,PAYMENT,365,2015-04-25 01:14:00,20150425
60807,9854,PENDING_PAYMENT,PAYMENT,365,2017-06-06 15:03:00,20170606
53413,376,PENDING_PAYMENT,PAYMENT,365,2017-02-18 16:36:00,20170218
7888,5417,PENDING_PAYMENT,PAYMENT,502,2015-04-26 03:10:00,20150426
6783,10759,PENDING_PAYMENT,PAYMENT,627,2015-04-10 00:02:00,20150410
56973,8541,PENDING_PAYMENT,PAYMENT,502,2017-04-11 15:49:00,20170411
55155,3752,PENDING_PAYMENT,PAYMENT,502,2017-03-16 02:54:00,20170316
5991,4673,PENDING_PAYMENT,PAYMENT,502,2015-03-29 10:33:00,20150329
2263,5367,PENDING_PAYMENT,PAYMENT,502,2015-02-03 00:28:00,20150203
53403,10485,PENDING_PAYMENT,PAYMENT,502,2017-02-18 13:05:00,20170218
51298,9272,PENDING_PAYMENT,PAYMENT,627,2017-01-18 19:37:00,20170118
4919,647,PENDING,TRANSFER,502,2015-03-13 18:59:00,20150313
52640,6398,PENDING,TRANSFER,627,2017-02-07 09:47:00,20170207
6358,4209,PENDING,TRANSFER,627,2015-04-03 19:08:00,20150403
57106,8917,PENDING,TRANSFER,502,2017-04-13 14:25:00,20170413
6245,7784,PENDING,TRANSFER,502,2015-04-02 03:33:00,20150402
52166,1425,PENDING,TRANSFER,642,2017-01-31 11:43:00,20170131
56172,2737,PENDING,TRANSFER,627,2017-03-30 23:12:00,20170330
55829,6428,PENDING,TRANSFER,502,2017-03-25 23:02:00,20170325
52478,6543,PENDING,TRANSFER,502,2017-02-05 01:01:00,20170205
57242,3990,PENDING,TRANSFER,627,2017-04-15 14:04:00,20170415
3137,8524,PENDING,TRANSFER,502,2015-02-15 18:40:00,20150215
60127,9204,PENDING,TRANSFER,502,2017-05-27 16:48:00,20170527
3828,11761,PENDING,TRANSFER,627,2015-02-25 20:46:00,20150225
60386,9554,PENDING,TRANSFER,502,2017-05-31 11:33:00,20170531
973,5118,PENDING,TRANSFER,627,2015-01-15 04:32:00,20150115
57999,5506,PENDING,TRANSFER,502,2017-04-26 15:16:00,20170426
54585,1423,PENDING,TRANSFER,502,2017-03-07 19:12:00,20170307
57598,138,PENDING,TRANSFER,502,2017-04-20 18:47:00,20170420
54274,6360,PENDING,TRANSFER,502,2017-03-03 06:14:00,20170303
60673,2053,PENDING,TRANSFER,627,2017-06-04 16:06:00,20170604
59387,10344,PENDING,TRANSFER,502,2017-05-16 21:33:00,20170516
10007,3375,PENDING,TRANSFER,502,2015-05-27 01:32:00,20150527
55984,1339,PENDING,TRANSFER,818,2017-03-28 05:20:00,20170328
58375,3990,PENDING,TRANSFER,306,2017-05-02 03:00:00,20170502
56448,7247,PENDING,TRANSFER,977,2017-04-03 23:53:00,20170403
8221,1273,PROCESSING,TRANSFER,44,2015-04-30 23:49:00,20150430
58034,6277,PROCESSING,TRANSFER,191,2017-04-27 03:32:00,20170427
2203,7701,PROCESSING,TRANSFER,191,2015-02-02 03:27:00,20150202
53069,4126,PROCESSING,TRANSFER,191,2017-02-13 16:05:00,20170213
60146,9528,PROCESSING,TRANSFER,191,2017-05-27 23:28:00,20170527
55409,1853,PROCESSING,TRANSFER,191,2017-03-19 19:53:00,20170319
8678,11149,PROCESSING,TRANSFER,191,2015-05-07 15:56:00,20150507
7980,5828,PROCESSING,TRANSFER,191,2015-04-27 11:23:00,20150427
57185,6887,PROCESSING,TRANSFER,191,2017-04-14 18:06:00,20170414
8636,4781,PROCESSING,TRANSFER,191,2015-05-07 01:13:00,20150507
61192,10668,PROCESSING,TRANSFER,251,2017-06-12 05:55:00,20170612
55876,5421,PROCESSING,TRANSFER,365,2017-03-26 15:30:00,20170326
53331,10200,PROCESSING,TRANSFER,365,2017-02-17 11:52:00,20170217
51725,11254,PROCESSING,TRANSFER,365,2017-01-25 01:13:00,20170125
52562,11106,PROCESSING,TRANSFER,365,2017-02-06 06:27:00,20170206
59754,8456,PROCESSING,TRANSFER,365,2017-05-22 06:08:00,20170522
53574,6149,PROCESSING,TRANSFER,365,2017-02-21 01:00:00,20170221
399,1473,PROCESSING,TRANSFER,365,2015-01-06 19:26:00,20150106
51050,1840,ON_HOLD,DEBIT,191,2017-01-15 04:44:00,20170115
45680,6757,ON_HOLD,DEBIT,403,2016-10-28 19:23:00,20161028
42992,3972,ON_HOLD,DEBIT,403,2016-09-19 13:39:00,20160919
41304,9316,ON_HOLD,DEBIT,403,2016-08-25 22:16:00,20160825
44253,11213,ON_HOLD,DEBIT,403,2016-10-07 23:26:00,20161007
46098,3474,ON_HOLD,DEBIT,957,2016-11-03 21:49:00,20161103
71077,14630,COMPLETE,DEBIT,1352,2017-11-03 13:05:00,20171103
69703,13256,COMPLETE,DEBIT,1349,2017-10-14 11:42:00,20171014
71112,14665,COMPLETE,DEBIT,1352,2017-11-04 01:21:00,20171104
69810,13363,COMPLETE,DEBIT,1349,2017-10-16 01:12:00,20171016
71092,14645,COMPLETE,DEBIT,1352,2017-11-03 18:20:00,20171103
69610,13163,COMPLETE,DEBIT,1349,2017-10-13 03:08:00,20171013
71000,14553,COMPLETE,DEBIT,1352,2017-11-02 10:06:00,20171102
70734,14287,COMPLETE,DEBIT,1351,2017-10-29 12:55:00,20171029
69626,13179,COMPLETE,DEBIT,1349,2017-10-13 08:44:00,20171013
69482,13035,COMPLETE,DEBIT,1349,2017-10-11 06:17:00,20171011
70769,14322,COMPLETE,DEBIT,1351,2017-10-30 01:10:00,20171030
69643,13196,COMPLETE,DEBIT,1349,2017-10-13 14:41:00,20171013
71051,14604,COMPLETE,DEBIT,1352,2017-11-03 03:58:00,20171103
69408,12961,COMPLETE,DEBIT,1349,2017-10-10 04:21:00,20171010
71123,14676,COMPLETE,DEBIT,1352,2017-11-04 05:12:00,20171104
70534,14087,COMPLETE,DEBIT,1351,2017-10-26 14:51:00,20171026
69641,13194,COMPLETE,DEBIT,1349,2017-10-13 13:59:00,20171013
70960,14513,COMPLETE,DEBIT,1352,2017-11-01 20:05:00,20171101
69908,13461,COMPLETE,DEBIT,1349,2017-10-17 11:32:00,20171017
70957,14510,COMPLETE,DEBIT,1352,2017-11-01 19:02:00,20171101
69637,13190,COMPLETE,DEBIT,1349,2017-10-13 12:35:00,20171013
70955,14508,COMPLETE,DEBIT,1352,2017-11-01 18:20:00,20171101
70919,14472,COMPLETE,DEBIT,1352,2017-11-01 05:44:00,20171101
71009,14562,COMPLETE,DEBIT,1352,2017-11-02 13:15:00,20171102
69653,13206,COMPLETE,DEBIT,1349,2017-10-13 18:11:00,20171013
69527,13080,COMPLETE,DEBIT,1349,2017-10-11 22:03:00,20171011
71080,14633,COMPLETE,DEBIT,1352,2017-11-03 14:08:00,20171103
70544,14097,COMPLETE,DEBIT,1351,2017-10-26 18:21:00,20171026
69471,13024,COMPLETE,DEBIT,1349,2017-10-11 02:26:00,20171011
68879,778,COMPLETE,DEBIT,60,2017-10-02 11:01:00,20171002
67214,7146,COMPLETE,DEBIT,24,2017-09-08 03:42:00,20170908
17810,6365,COMPLETE,DEBIT,44,2015-09-17 23:17:00,20150917
18793,8422,COMPLETE,DEBIT,278,2015-10-02 07:40:00,20151002
65109,8524,COMPLETE,DEBIT,191,2017-08-08 10:13:00,20170808
15673,3784,COMPLETE,DEBIT,191,2015-08-17 18:35:00,20150817
18183,10519,COMPLETE,DEBIT,278,2015-09-23 09:57:00,20150923
20234,7132,COMPLETE,DEBIT,191,2015-10-23 08:31:00,20151023
13139,3709,COMPLETE,DEBIT,191,2015-07-11 18:49:00,20150711
33824,1509,SUSPECTED_FRAUD,TRANSFER,278,2016-05-08 17:42:00,20160508
31364,1636,SUSPECTED_FRAUD,TRANSFER,191,2016-04-02 19:51:00,20160402
40495,2784,SUSPECTED_FRAUD,TRANSFER,191,2016-08-14 02:51:00,20160814
34506,9174,SUSPECTED_FRAUD,TRANSFER,365,2016-05-18 16:38:00,20160518
33607,122,SUSPECTED_FRAUD,TRANSFER,365,2016-05-05 13:40:00,20160505
32617,3800,SUSPECTED_FRAUD,TRANSFER,365,2016-04-21 02:50:00,20160421
37496,10029,SUSPECTED_FRAUD,TRANSFER,627,2016-07-01 08:10:00,20160701
49075,2805,SUSPECTED_FRAUD,TRANSFER,502,2016-12-17 08:48:00,20161217
41623,12253,SUSPECTED_FRAUD,TRANSFER,627,2016-08-30 14:02:00,20160830
39271,3528,SUSPECTED_FRAUD,TRANSFER,627,2016-07-27 06:01:00,20160727
38598,11018,SUSPECTED_FRAUD,TRANSFER,893,2016-07-17 10:14:00,20160717
37845,3222,SUSPECTED_FRAUD,TRANSFER,924,2016-07-06 10:26:00,20160706
42331,6246,CANCELED,TRANSFER,365,2016-09-09 22:05:00,20160909
41345,8741,CANCELED,TRANSFER,365,2016-08-26 12:38:00,20160826
51168,8050,CANCELED,TRANSFER,502,2017-01-16 22:04:00,20170116
43599,5474,CANCELED,TRANSFER,502,2016-09-28 10:19:00,20160928
41901,474,CANCELED,TRANSFER,905,2016-09-03 15:26:00,20160903
42751,12255,PENDING,TRANSFER,191,2016-09-16 01:13:00,20160916
45088,10288,PENDING,TRANSFER,365,2016-10-20 03:59:00,20161020
50489,4717,PENDING,TRANSFER,365,2017-01-07 00:11:00,20170107
44409,4799,PENDING,TRANSFER,365,2016-10-10 06:06:00,20161010
42101,4533,PENDING,TRANSFER,365,2016-09-06 13:30:00,20160906
50424,12383,PENDING,TRANSFER,365,2017-01-06 01:25:00,20170106
49825,3518,PENDING,TRANSFER,502,2016-12-28 07:33:00,20161228
41294,4674,PENDING,TRANSFER,502,2016-08-25 18:46:00,20160825
42023,8519,PENDING,TRANSFER,627,2016-09-05 10:10:00,20160905
47774,5302,PENDING,TRANSFER,627,2016-11-28 09:00:00,20161128
41827,3594,PENDING,TRANSFER,564,2016-09-02 13:30:00,20160902
47193,9890,PENDING,TRANSFER,502,2016-11-19 21:27:00,20161119
42626,1410,PENDING,TRANSFER,502,2016-09-14 05:26:00,20160914
46199,7521,PENDING,TRANSFER,502,2016-11-05 09:13:00,20161105
48468,2106,PENDING,TRANSFER,885,2016-12-08 12:08:00,20161208
51009,8144,PROCESSING,TRANSFER,191,2017-01-14 14:22:00,20170114
46229,5643,PROCESSING,TRANSFER,191,2016-11-05 19:43:00,20161105
42882,2041,PROCESSING,TRANSFER,191,2016-09-17 23:07:00,20160917
46827,7537,PROCESSING,TRANSFER,191,2016-11-14 13:14:00,20161114
48684,3056,PROCESSING,TRANSFER,191,2016-12-11 15:49:00,20161211
46416,7967,PROCESSING,TRANSFER,191,2016-11-08 13:14:00,20161108
47343,1758,PROCESSING,TRANSFER,191,2016-11-22 02:00:00,20161122
41686,7884,COMPLETE,DEBIT,403,2016-08-31 12:06:00,20160831
41896,289,COMPLETE,DEBIT,403,2016-09-03 13:41:00,20160903
28168,10081,COMPLETE,DEBIT,365,2016-02-16 04:09:00,20160216
