Shipping_Mode,Delivery_Status,Late_delivery_risk,Days_for_shipping_(real),Days_for_shipment_(scheduled),shipping_date_(DateOrders),Shipping_Date_Key,Shipping_Id
Standard Class,Advance shipping,0,3,4,2018-02-03 22:56:00,20180203,1
Standard Class,Late delivery,1,5,4,2018-01-18 12:27:00,20180118,2
Standard Class,Shipping on time,0,4,4,2018-01-17 12:06:00,20180117,3
Standard Class,Advance shipping,0,3,4,2018-01-16 11:45:00,20180116,4
Standard Class,Advance shipping,0,2,4,2018-01-15 11:24:00,20180115,5
Standard Class,Shipping canceled,0,6,4,2018-01-19 11:03:00,20180119,6
First Class,Late delivery,1,2,1,2018-01-15 10:42:00,20180115,7
First Class,Late delivery,1,2,1,2018-01-15 10:21:00,20180115,8
Second Class,Late delivery,1,3,2,2018-01-16 10:00:00,20180116,9
First Class,Late delivery,1,2,1,2018-01-15 09:39:00,20180115,10
Second Class,Shipping canceled,0,6,2,2018-01-19 09:18:00,20180119,11
Second Class,Late delivery,1,5,2,2018-01-18 08:57:00,20180118,12
Second Class,Late delivery,1,4,2,2018-01-17 08:36:00,20180117,13
First Class,Late delivery,1,2,1,2018-01-15 08:15:00,20180115,14
First Class,Late delivery,1,2,1,2018-01-15 07:54:00,20180115,15
First Class,Late delivery,1,2,1,2018-01-15 07:33:00,20180115,16
Second Class,Late delivery,1,5,2,2018-01-18 07:12:00,20180118,17
First Class,Late delivery,1,2,1,2018-01-15 06:51:00,20180115,18
First Class,Late delivery,1,2,1,2018-01-15 06:30:00,20180115,19
Same Day,Shipping on time,0,0,0,2018-01-13 18:09:00,20180113,20
Same Day,Shipping on time,0,0,0,2018-01-13 17:48:00,20180113,21
Standard Class,Late delivery,1,5,4,2018-01-18 05:27:00,20180118,22
Second Class,Late delivery,1,4,2,2018-01-17 05:06:00,20180117,23
Second Class,Shipping canceled,0,3,2,2018-01-16 04:45:00,20180116,24
Second Class,Shipping canceled,0,2,2,2018-01-15 04:24:00,20180115,25
Second Class,Late delivery,1,6,2,2018-01-19 04:03:00,20180119,26
Second Class,Late delivery,1,5,2,2018-01-18 03:42:00,20180118,27
Standard Class,Shipping on time,0,4,4,2018-01-17 03:21:00,20180117,28
Standard Class,Advance shipping,0,3,4,2018-01-16 03:00:00,20180116,29
Standard Class,Advance shipping,0,2,4,2018-01-15 02:39:00,20180115,30
Standard Class,Late delivery,1,6,4,2018-01-19 02:18:00,20180119,31
Standard Class,Late delivery,1,5,4,2018-01-18 01:57:00,20180118,32
Standard Class,Shipping on time,0,4,4,2018-01-17 01:36:00,20180117,33
First Class,Late delivery,1,2,1,2018-01-15 01:15:00,20180115,34
First Class,Late delivery,1,2,1,2018-01-15 00:54:00,20180115,35
First Class,Late delivery,1,2,1,2018-01-15 00:33:00,20180115,36
First Class,Late delivery,1,2,1,2018-01-15 00:12:00,20180115,37
First Class,Late delivery,1,2,1,2018-01-14 23:51:00,20180114,38
Same Day,Late delivery,1,1,0,2018-01-13 11:30:00,20180113,39
Same Day,Shipping canceled,0,1,0,2018-01-13 11:09:00,20180113,40
Same Day,Late delivery,1,1,0,2018-01-13 10:48:00,20180113,41
Same Day,Late delivery,1,1,0,2018-01-13 10:27:00,20180113,42
Standard Class,Shipping on time,0,4,4,2018-01-16 22:05:00,20180116,43
Standard Class,Advance shipping,0,3,4,2018-01-15 21:44:00,20180115,44
Standard Class,Advance shipping,0,2,4,2018-01-14 21:23:00,20180114,45
Standard Class,Late delivery,1,6,4,2018-01-18 21:02:00,20180118,46
Second Class,Late delivery,1,5,2,2018-01-17 20:41:00,20180117,47
Standard Class,Shipping on time,0,4,4,2018-01-16 20:20:00,20180116,48
Second Class,Late delivery,1,5,2,2016-02-29 13:57:00,20160229,49
Second Class,Shipping on time,0,2,2,2016-10-27 14:39:00,20161027,50
Second Class,Late delivery,1,6,2,2016-04-05 04:37:00,20160405,51
Second Class,Shipping on time,0,2,2,2016-11-01 01:31:00,20161101,52
Second Class,Late delivery,1,3,2,2016-12-01 01:18:00,20161201,53
Second Class,Late delivery,1,5,2,2017-01-05 15:47:00,20170105,54
Second Class,Late delivery,1,6,2,2015-10-31 06:24:00,20151031,55
Second Class,Shipping on time,0,2,2,2016-06-13 15:12:00,20160613,56
Second Class,Late delivery,1,5,2,2016-08-29 21:45:00,20160829,57
Second Class,Late delivery,1,6,2,2016-04-19 10:12:00,20160419,58
Second Class,Late delivery,1,4,2,2016-05-26 14:10:00,20160526,59
Second Class,Shipping on time,0,2,2,2016-10-06 22:55:00,20161006,60
Second Class,Late delivery,1,5,2,2016-11-13 12:32:00,20161113,61
Second Class,Late delivery,1,5,2,2016-11-16 05:21:00,20161116,62
Second Class,Late delivery,1,5,2,2016-12-13 00:14:00,20161213,63
Second Class,Late delivery,1,3,2,2015-07-10 05:31:00,20150710,64
Second Class,Shipping on time,0,2,2,2017-07-24 07:16:00,20170724,65
Second Class,Late delivery,1,6,2,2017-08-13 06:33:00,20170813,66
Second Class,Late delivery,1,4,2,2015-09-26 07:41:00,20150926,67
Second Class,Shipping on time,0,2,2,2017-07-04 09:03:00,20170704,68
Second Class,Late delivery,1,3,2,2015-09-11 12:15:00,20150911,69
Second Class,Late delivery,1,3,2,2017-08-23 07:03:00,20170823,70
Second Class,Late delivery,1,4,2,2017-08-08 02:31:00,20170808,71
Second Class,Late delivery,1,3,2,2017-09-21 01:14:00,20170921,72
Second Class,Late delivery,1,6,2,2015-07-08 19:42:00,20150708,73
Second Class,Late delivery,1,6,2,2015-04-03 00:55:00,20150403,74
Second Class,Late delivery,1,5,2,2017-04-07 16:43:00,20170407,75
Second Class,Late delivery,1,4,2,2017-05-09 14:23:00,20170509,76
Second Class,Late delivery,1,5,2,2015-04-30 04:44:00,20150430,77
Second Class,Late delivery,1,5,2,2015-04-30 01:14:00,20150430,78
Second Class,Late delivery,1,3,2,2017-06-09 15:03:00,20170609,79
Second Class,Late delivery,1,4,2,2017-02-22 16:36:00,20170222,80
Second Class,Late delivery,1,4,2,2015-04-30 03:10:00,20150430,81
Second Class,Late delivery,1,4,2,2015-04-14 00:02:00,20150414,82
Second Class,Late delivery,1,4,2,2017-04-15 15:49:00,20170415,83
Second Class,Late delivery,1,6,2,2017-03-22 02:54:00,20170322,84
Second Class,Shipping on time,0,2,2,2015-03-31 10:33:00,20150331,85
Second Class,Late delivery,1,4,2,2015-02-07 00:28:00,20150207,86
Second Class,Late delivery,1,4,2,2017-02-22 13:05:00,20170222,87
Second Class,Late delivery,1,4,2,2017-01-22 19:37:00,20170122,88
